"dim_customers_key";"customer_id";"first_name";"last_name";"email";"active";"create_date";"address";"district";"city";"country";"postal_code";"phone"
600;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";1;"2006-02-14 22:04:36";"1913 Hanoi Way";"Nagasaki";"Sasebo";"Japan";"35200";"28303384290"
601;2;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";1;"2006-02-14 22:04:36";"1121 Loja Avenue";"California";"San Bernardino";"United States";"17886";"838635286649"
602;3;"LINDA";"WILLIAMS";"LINDA.WILLIAMS@sakilacustomer.org";1;"2006-02-14 22:04:36";"692 Joliet Street";"Attika";"Athenai";"Greece";"83579";"448477190408"
603;4;"BARBARA";"JONES";"BARBARA.JONES@sakilacustomer.org";1;"2006-02-14 22:04:36";"1566 Inegl Manor";"Mandalay";"Myingyan";"Myanmar";"53561";"705814003527"
604;5;"ELIZABETH";"BROWN";"ELIZABETH.BROWN@sakilacustomer.org";1;"2006-02-14 22:04:36";"53 Idfu Parkway";"Nantou";"Nantou";"Taiwan";"42399";"10655648674"
605;6;"JENNIFER";"DAVIS";"JENNIFER.DAVIS@sakilacustomer.org";1;"2006-02-14 22:04:36";"1795 Santiago de Compostela Way";"Texas";"Laredo";"United States";"18743";"860452626434"
606;7;"MARIA";"MILLER";"MARIA.MILLER@sakilacustomer.org";1;"2006-02-14 22:04:36";"900 Santiago de Compostela Parkway";"Central Serbia";"Kragujevac";"Yugoslavia";"93896";"716571220373"
607;8;"SUSAN";"WILSON";"SUSAN.WILSON@sakilacustomer.org";1;"2006-02-14 22:04:36";"478 Joliet Way";"Hamilton";"Hamilton";"New Zealand";"77948";"657282285970"
608;9;"MARGARET";"MOORE";"MARGARET.MOORE@sakilacustomer.org";1;"2006-02-14 22:04:36";"613 Korolev Drive";"Masqat";"Masqat";"Oman";"45844";"380657522649"
609;10;"DOROTHY";"TAYLOR";"DOROTHY.TAYLOR@sakilacustomer.org";1;"2006-02-14 22:04:36";"1531 Sal Drive";"Esfahan";"Esfahan";"Iran";"53628";"648856936185"
610;11;"LISA";"ANDERSON";"LISA.ANDERSON@sakilacustomer.org";1;"2006-02-14 22:04:36";"1542 Tarlac Parkway";"Kanagawa";"Sagamihara";"Japan";"1027";"635297277345"
611;12;"NANCY";"THOMAS";"NANCY.THOMAS@sakilacustomer.org";1;"2006-02-14 22:04:36";"808 Bhopal Manor";"Haryana";"Yamuna Nagar";"India";"10672";"465887807014"
