"dim_locations_key";"address_key";"city_key";"address";"city";"district";"postal_code";"phone"
606;1;300;"47 MySakila Drive";"Lethbridge";"Alberta";"";""
607;2;576;"28 MySQL Boulevard";"Woodridge";"QLD";"";""
608;3;300;"23 Workhaven Lane";"Lethbridge";"Alberta";"";"14033335568"
609;4;576;"1411 Lillydale Drive";"Woodridge";"QLD";"";"6172235589"
610;5;463;"1913 Hanoi Way";"Sasebo";"Nagasaki";"35200";"28303384290"
611;6;449;"1121 Loja Avenue";"San Bernardino";"California";"17886";"838635286649"
612;7;38;"692 Joliet Street";"Athenai";"Attika";"83579";"448477190408"
613;8;349;"1566 Inegl Manor";"Myingyan";"Mandalay";"53561";"705814003527"
614;9;361;"53 Idfu Parkway";"Nantou";"Nantou";"42399";"10655648674"
615;10;295;"1795 Santiago de Compostela Way";"Laredo";"Texas";"18743";"860452626434"
616;11;280;"900 Santiago de Compostela Parkway";"Kragujevac";"Central Serbia";"93896";"716571220373"
617;12;200;"478 Joliet Way";"Hamilton";"Hamilton";"77948";"657282285970"
618;13;329;"613 Korolev Drive";"Masqat";"Masqat";"45844";"380657522649"
619;14;162;"1531 Sal Drive";"Esfahan";"Esfahan";"53628";"648856936185"
620;15;440;"1542 Tarlac Parkway";"Sagamihara";"Kanagawa";"1027";"635297277345"
621;16;582;"808 Bhopal Manor";"Yamuna Nagar";"Haryana";"10672";"465887807014"
622;17;384;"270 Amroha Parkway";"Osmaniye";"Osmaniye";"29610";"695479687538"
623;18;120;"770 Bydgoszcz Avenue";"Citrus Heights";"California";"16266";"517338314235"
624;19;76;"419 Iligan Lane";"Bhopal";"Madhya Pradesh";"72878";"990911107354"
625;20;495;"360 Toulouse Parkway";"Southend-on-Sea";"England";"54308";"949312333307"
626;21;156;"270 Toulon Boulevard";"Elista";"Kalmykia";"81766";"407752414682"
627;22;252;"320 Brest Avenue";"Kaduna";"Kaduna";"43331";"747791594069"
628;23;267;"1417 Lancaster Avenue";"Kimberley";"Northern Cape";"72192";"272572357893"
629;24;327;"1688 Okara Way";"Mardan";"Nothwest Border Prov";"21954";"144453869132"
630;25;525;"262 A Corua (La Corua) Parkway";"Tangail";"Dhaka";"34418";"892775750063"
631;26;443;"28 Charlotte Amalie Street";"Sal";"Rabat-Sal-Zammour-Z";"37551";"161968374323"
632;27;303;"1780 Hino Boulevard";"Liepaja";"Liepaja";"7716";"902731229323"
633;28;128;"96 Tafuna Way";"Crdoba";"Crdoba";"99865";"934730187245"
634;29;472;"934 San Felipe de Puerto Plata Street";"Shikarpur";"Sind";"99780";"196495945706"
635;30;121;"18 Duisburg Boulevard";"Citt del Vaticano";"";"58327";"998009777982"
636;31;138;"217 Botshabelo Place";"Davao";"Southern Mindanao";"49521";"665356572025"
637;32;346;"1425 Shikarpur Manor";"Munger (Monghyr)";"Bihar";"65599";"678220867005"
638;33;474;"786 Aurora Avenue";"Shimonoseki";"Yamaguchi";"65750";"18461860151"
639;34;316;"1668 Anpolis Street";"Lungtan";"Taipei";"50199";"525255540978"
640;35;257;"33 Gorontalo Way";"Kamarhati";"West Bengali";"30348";"745994947458"
641;36;239;"176 Mandaluyong Place";"Jhansi";"Uttar Pradesh";"65213";"627705991774"
642;37;17;"127 Purnea (Purnia) Manor";"Alessandria";"Piemonte";"79388";"911872220378"
